series_cn,quality_grade_cn,quality_grade_en,fabric_code,fabric_name_cn,fabric_name_en,composition_cn,composition_en,width_cn,width_en,weight_cn,weight_en,color_codes,price_adjustment_cn,bulk_price_rmb_per_kg,net_price_rmb_per_kg,net_price_rmb_per_meter,cutting_price_rmb_per_meter,quantification_m_per_kg,quantification_en,tube_kg,empty_allowance_kg,tube_plus_allowance_kg_per_roll,tube_allowance_status,reference_roll_weight_kg,reference_roll_weight_en,remarks_cn,remarks_en,default_bulk_price_rmb_per_kg,default_net_price_rmb_per_kg,default_net_price_rmb_per_meter
ACR系列,合格品,Qualified Grade,6228,慕斯绒,Mousse Fleece,"178:37.6%粘纤 28.3%棉 28.3%腈纶 5.8%氨纶/86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维","178:37.6% Viscose 28.3% Cotton 28.3% Acrylic 5.8% Spandex / 86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,125#,-2元,52.2,58.8,26.7,38.0,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,54.3,61.3,27.8
ACR系列,合格品,Qualified Grade,6228,慕斯绒,Mousse Fleece,"178:37.6%粘纤 28.3%棉 28.3%腈纶 5.8%氨纶/86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维","178:37.6% Viscose 28.3% Cotton 28.3% Acrylic 5.8% Spandex / 86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,"2#,24#,25#,41#,43#,50#,52#,54#,57#,58#,65#,67#,74#,93#,101#,121#,128#,129#,136#,139#,140#,150#,153#,154#,155#,162#,168#,169#,171#,172#,174#,175#",+2元,56.5,63.8,29.0,38.0,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分/活性黑（2#）,Multiple compositions/Reactive Black(2#),54.3,61.3,27.8
ACR系列,合格品,Qualified Grade,6228,慕斯绒,Mousse Fleece,"178:37.6%粘纤 28.3%棉 28.3%腈纶 5.8%氨纶/86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维","178:37.6% Viscose 28.3% Cotton 28.3% Acrylic 5.8% Spandex / 86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,179#,+3元,57.6,65.0,29.6,38.0,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,54.3,61.3,27.8
ACR系列,合格品,Qualified Grade,6228,慕斯绒,Mousse Fleece,"178:37.6%粘纤 28.3%棉 28.3%腈纶 5.8%氨纶/86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维","178:37.6% Viscose 28.3% Cotton 28.3% Acrylic 5.8% Spandex / 86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,"107#,115#",+5元,59.8,67.4,30.7,38.0,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,54.3,61.3,27.8
ACR系列,合格品,Qualified Grade,6228,慕斯绒,Mousse Fleece,"178:37.6%粘纤 28.3%棉 28.3%腈纶 5.8%氨纶/86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维","178:37.6% Viscose 28.3% Cotton 28.3% Acrylic 5.8% Spandex / 86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,"120#,122#,123#,124#,173#,180#",+6元,60.9,68.7,31.2,38.0,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,54.3,61.3,27.8
ACR系列,合格品,Qualified Grade,6228A,慕斯绒,Mousse Fleece,"86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维/103,104,86,87,88,89,90,91:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶","86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester / 103,104,86,87,88,89,90,91:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,125#,-2元,56.5,63.8,29.0,43.5,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,58.7,66.2,30.1
ACR系列,合格品,Qualified Grade,6228A,慕斯绒,Mousse Fleece,"86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维/103,104,86,87,88,89,90,91:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶","86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester / 103,104,86,87,88,89,90,91:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,"2#,24#,25#,41#,43#,50#,52#,54#,57#,58#,65#,67#,74#,93#,101#,121#,128#,129#,136#,139#,140#,150#,153#,154#,155#,162#,168#,169#,171#,172#,174#,175#",+2元,60.9,68.7,31.2,43.5,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分/活性黑（2#）,Multiple compositions/Reactive Black(2#),58.7,66.2,30.1
ACR系列,合格品,Qualified Grade,6228A,慕斯绒,Mousse Fleece,"86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维/103,104,86,87,88,89,90,91:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶","86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester / 103,104,86,87,88,89,90,91:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,"107#,115#",+5元,64.1,72.4,32.9,43.5,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,58.7,66.2,30.1
ACR系列,合格品,Qualified Grade,6228A,慕斯绒,Mousse Fleece,"86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维/103,104,86,87,88,89,90,91:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶","86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester / 103,104,86,87,88,89,90,91:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,"120#,122#,123#,124#,173#,180#",+6元,65.2,73.6,33.5,43.5,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,58.7,66.2,30.1
ACR系列,一等品,First Grade,6228,慕斯绒,Mousse Fleece,"178:37.6%粘纤 28.3%棉 28.3%腈纶 5.8%氨纶/86,87:33%粘纤 24.7%棉 24.7%腈纶 11.8%聚酯纤维 5.8%氨纶/123,124:37.6%粘纤 28.3%腈纶 26.4%棉 5.8%氨纶 1.9%聚酯纤维","178:37.6% Viscose 28.3% Cotton 28.3% Acrylic 5.8% Spandex / 86,87:33% Viscose 24.7% Cotton 24.7% Acrylic 11.8% Polyester 5.8% Spandex / 123,124:37.6% Viscose 28.3% Acrylic 26.4% Cotton 5.8% Spandex 1.9% Polyester",175CM±5CM,175 cm ± 5 cm,260±5%,260 gsm ± 5%,125#,-2元,68.7,66.2,26.7,38.0,2.2,2.2 m/kg,1.5,1.5,3.0,ok,23.0,23 kg/roll,多成分,Multiple compositions,,68.7,31.2
